"rank","player_name","team","position","headshot_href","IMPACT_100","SCORING_100","PLAY_100","REB_100","DISC_100","DEF_100","TOTAL_100"
1,"Nikola Jokic","DEN","C","https://a.espncdn.com/i/headshots/nba/players/full/3112335.png",97.737789002845,95.7616425966537,97.4764970915606,84.3150990867489,51.025066782284,79.8311875705882,98.3533085561081
2,"Shai Gilgeous-Alexander","OKC","PG","https://a.espncdn.com/i/headshots/nba/players/full/4278073.png",98.3439962798621,94.2756495310943,90.8314016421817,55.1334225127544,65.4666890494547,85.7433319315206,97.6296016833805
3,"Tyrese Haliburton","IND","PG","https://a.espncdn.com/i/headshots/nba/players/full/4396993.png",86.7882195272646,86.0175910464133,97.1405279215993,49.6017387493885,84.9760572369225,74.0831876450246,95.2629390433173
4,"Giannis Antetokounmpo","MIL","PF","https://a.espncdn.com/i/headshots/nba/players/full/3032977.png",95.9484584012505,88.6993786529939,89.3942399861162,83.6968293265069,52.8163498314716,60.8513752394513,94.2540152035075
5,"Anthony Davis","DAL","PF","https://a.espncdn.com/i/headshots/nba/players/full/6583.png",87.9027279313981,72.5163120687836,65.1024329397833,96.3012576643631,74.0776226487751,86.1372439090447,92.734007612315
6,"Jimmy Butler III","GS","SF","https://a.espncdn.com/i/headshots/nba/players/full/6430.png",88.2632240505479,74.4709754824409,81.9835516494205,86.0668233546751,90.3380972099363,70.214466862543,92.2607559652388
7,"Victor Wembanyama","SA","C","https://a.espncdn.com/i/headshots/nba/players/full/5104157.png",87.0113305709862,79.1355111039954,64.8759876350485,81.3210876728274,51.7062254735059,96.1301319656403,92.208394929951
8,"Luka Doncic","LAL","PG","https://a.espncdn.com/i/headshots/nba/players/full/3945274.png",92.0162830609949,77.134043613194,89.964400753824,75.3403668942152,51.9767905923083,78.07456030077,91.9418091451806
9,"Evan Mobley","CLE","PF","https://a.espncdn.com/i/headshots/nba/players/full/4432158.png",93.5971402282045,88.9180038964539,67.8019647297812,79.8171432636355,58.9438036568348,74.4821986526066,91.0637158797095
10,"Jarrett Allen","CLE","C","https://a.espncdn.com/i/headshots/nba/players/full/4066328.png",92.9865763878821,85.3660842431108,57.40713962297,85.2658346256854,72.9793012065341,69.6122100459129,89.1240338647684
11,"Jalen Williams","OKC","F","https://a.espncdn.com/i/headshots/nba/players/full/4593803.png",90.3700610970524,77.2596166730239,83.3010256353947,57.6699517191121,63.0498394704387,81.4304030884253,89.0478778366245
12,"Alex Caruso","OKC","SG","https://a.espncdn.com/i/headshots/nba/players/full/2991350.png",79.8766634645206,60.4418307655587,66.4065167323207,56.8693487855967,74.2320794927897,97.4667090952139,88.7537338541806
13,"James Harden","LAC","SG","https://a.espncdn.com/i/headshots/nba/players/full/3992.png",87.4110982239787,75.94384705984,96.6962504076104,56.9427040965209,34.6440350438682,73.3034170436732,88.6019719236213
14,"Darius Garland","CLE","PG","https://a.espncdn.com/i/headshots/nba/players/full/4396907.png",90.8318308622757,83.1927183786514,93.2844170419907,48.4634071114849,55.7823373132503,61.4464666274808,88.5980839916329
15,"Ty Jerome","CLE","SG","https://a.espncdn.com/i/headshots/nba/players/full/4065733.png",87.7617678939227,85.2328193163659,78.702088479299,53.1911140513198,68.5527195102876,79.278555087833,88.3457338862296
16,"Jayson Tatum","BOS","SF","https://a.espncdn.com/i/headshots/nba/players/full/4065648.png",93.0239141322283,85.02072181415,87.1387986770565,66.9148735093683,55.1286042794455,54.2872958119484,88.300192703202
17,"Dyson Daniels","ATL","G","https://a.espncdn.com/i/headshots/nba/players/full/4869342.png",62.7033225365353,66.1543368556073,78.3899089267369,60.7697343789119,55.4095056096517,97.6691853633953,88.0940477956385
18,"LeBron James","LAL","SF","https://a.espncdn.com/i/headshots/nba/players/full/1966.png",79.6605190007107,87.3879075679167,95.126759859134,65.9184489391798,47.0237975491575,54.7055881293399,88.0432099671233
