"","rank","namePlayer","position_abbreviation","team_abbreviation","TOTAL_100"
"1",1,"Shai Gilgeous-Alexander","PG","OKC",97.906432939541
"2",2,"Tyrese Haliburton","PG","IND",95.819986997204
"3",3,"Giannis Antetokounmpo","PF","MIL",95.0586317153519
"4",4,"Anthony Davis","PF","DAL",93.8380831464777
"5",5,"Jimmy Butler III","SF","GS",93.2378712984856
"6",6,"Victor Wembanyama","C","SA",93.2025800218863
"7",7,"Evan Mobley","PF","CLE",92.075946957539
"8",8,"Jalen Williams","F","OKC",90.2226503044261
"9",9,"Jarrett Allen","C","CLE",90.1925627292248
"10",10,"James Harden","SG","LAC",89.9921390201205
"11",11,"Darius Garland","PG","CLE",89.7634955346579
"12",12,"Alex Caruso","SG","OKC",89.7076456820469
"13",13,"Jayson Tatum","SF","BOS",89.6422467988335
"14",14,"LeBron James","SF","LAL",89.3060635131845
"15",15,"Ty Jerome","SG","MEM",89.2611036186236
"16",16,"Dyson Daniels","G","ATL",89.1838247989144
"17",17,"Stephen Curry","PG","GS",88.9048335927414
"18",18,"Domantas Sabonis","PF","SAC",88.6463793147238
"19",19,"Donovan Mitchell","SG","CLE",88.5547899543746
"20",20,"Karl-Anthony Towns","C","NY",86.9385452388521
"21",21,"Derrick White","PG","BOS",86.6834947669719
"22",22,"Cade Cunningham","PG","DET",86.4017214767682
"23",23,"Trae Young","PG","ATL",86.2077800941311
"24",24,"Amen Thompson","F","HOU",86.194925332628
"25",25,"Josh Hart","SG","NY",86.1544314751554
"26",26,"Payton Pritchard","PG","BOS",85.9757938479138
"27",27,"Alperen Sengun","C","HOU",85.8990738311934
"28",28,"T.J. McConnell","PG","IND",85.5551387393118
"29",29,"Zion Williamson","PF","NO",85.5441238877919
"30",30,"Josh Giddey","SG","CHI",85.2732246158398
"31",31,"Jamal Murray","PG","DEN",85.1478895654672
"32",32,"Ivica Zubac","C","LAC",85.0993790087825
"33",33,"Tari Eason","F","HOU",85.0925194766476
"34",34,"Chris Paul","PG","LAC",85.0492837813825
"35",35,"Christian Braun","G","DEN",84.6999590303132
"36",36,"Josh Okogie","SF","HOU",84.2562504867813
"37",37,"Luke Kornet","C","SA",84.1698949969978
"38",38,"Damian Lillard","PG","POR",83.8929097587597
"39",39,"Jalen Brunson","PG","NY",83.8051054400861
"40",40,"Kawhi Leonard","SF","LAC",83.6769018058146
"41",41,"Pascal Siakam","PF","IND",83.1592490174773
"42",42,"Thomas Bryant","C","IND",83.0692477061101
"43",43,"Jaren Jackson Jr.","PF","MEM",82.802590651527
"44",44,"Jakob Poeltl","C","TOR",82.7823837418092
"45",45,"Onyeka Okongwu","PF","ATL",82.6505802519175
